№;Alcohol;Malic and Apple Acid;Ash;Alcalinity of Ash;Magnesium;Total Phenols;Flavanoids;Nonflavanoid Phenols;Proanthocyanins;Color;Intensity;Hue;OD280_OD315_of_Deluted_Wines;Proline;Desired
1;13.01;2.11;2.63;20.32;116;3.27;2.92;0.31;2.81;White;4.82;0.9;3.78;1210;1
2;14.06;1.72;2.82;11.49;127;3.06;3.11;0.31;2.58;Rosé;6.96;0.89;3.34;1406;0
3;14.34;2.48;2.81;15.34;130;3.5;3.41;0.38;1.84;White;4.71;0.92;2.97;1440;1
4;14.05;1.76;2.12;19.43;106;3.87;3.23;0.35;2.07;Rosé;6.75;0.94;3.71;1004;0
5;14.38;1.87;2.35;11.63;107;3.39;2.93;0.37;2.48;Rosé;7.55;1.02;3.61;1229;1
6;14.26;2.53;2.52;19.66;119;3.05;2.85;0.26;2.81;White;5.73;0.96;3.64;1035;1
7;13.34;2.44;2.1;16.22;103;3.88;2.75;0.34;2.66;White;4.67;0.91;3.35;1233;0
8;13.99;2.43;2.81;12.45;105;3.02;3.37;0.29;2.78;White;4.32;0.92;3.51;1164;1
9;14.36;1.93;2.14;13.59;114;2.79;3.31;0.38;2.11;White;6.81;0.98;3.02;765;0
10;13.88;2.29;2.85;15.64;112;3.11;3.15;0.24;2.28;Red;6.48;0.95;3.79;898;0
11;14.07;2.51;2.75;17.31;127;2.91;2.77;0.38;2.47;White;5.71;0.91;3.78;852;0
12;13.74;1.82;2.73;14.25;117;3.42;3.37;0.33;2.39;Rosé;5.3;0.94;3.56;1090;0
13;13.63;2.16;2.6;13.63;111;3.53;3.41;0.27;2.69;Red;5.62;0.89;3.81;1096;0
14;13.94;2.4;2.2;13.42;109;3.89;3.19;0.26;2.32;White;4.69;0.95;3.29;1164;0
15;13.13;1.9;2.67;11.28;123;3.3;2.97;0.25;2.17;White;5.12;1.04;3.41;1472;1
16;13.57;1.83;2.77;15.14;104;2.99;3.14;0.38;1.86;Red;4.74;1.04;3.02;1397;0
17;14.4;2.45;2.66;20.8;126;3.42;3.12;0.27;2.73;White;7.81;0.94;3.61;860;0
18;13.74;2.29;2.58;12.74;105;3.58;3.38;0.24;1.85;White;5.72;1.04;3.92;1137;1
19;14.22;2.3;2.55;12.15;105;2.72;3.39;0.31;2.09;Rosé;4.64;0.96;3.56;977;1
20;14.29;1.91;2.26;17.61;106;3.55;2.95;0.37;2.49;Red;7.58;0.93;3.86;1001;0
